Field=#~Integer~#~50|Field=Line #~String~Line #~123|Field=Name~String~Name~121|Field=Description~String~Description~166|Field=Designator~String~Designator~163|Field=Quantity~Integer~Quantity~144|Field=Manufacturer 1~String~Manufacturer 1~201|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~313|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~278|Field=Supplier 1~String~Supplier 1~156|Field=Supplier Part Number 1~String~Supplier Part Number 1~268|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~243|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~231|ReportField=Currency~USD|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Bluetooth_Sentinel.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\NEXUS\Examples\Bluetooth Sentinel\Bluetooth_Sentinel.PrjPcb|ReportField=Title~Bill of Materials For BOM Document [Bluetooth_Sentinel.BomDoc]|ReportField=ReportTime~9:25:29 AM|ReportField=ReportDate~5/14/2018|ReportField=ReportDateTime~5/14/2018 9:25:29 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~61|ReportField=TotalActualPrice~165.42|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=Class~Sensor|ReportField=CompanyName~|ReportField=CurrentDate~5/14/2018|ReportField=CurrentTime~9:23:36 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\NEXUS\Examples\Bluetooth Sentinel\Managed\Sheets\2F97070E-C603-4B05-BFD4-1851083FF406\3-Axis_Accelerometer.SchDoc|ReportField=DocumentName~3-Axis_Accelerometer.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=MaxASupply~3V6|ReportField=MaxDSupply~VDD + 0V1|ReportField=MinASupply~2V16|ReportField=MinDSupply~1V71|ReportField=ModifiedDate~10/16/2013|ReportField=Organization~Altium Limited.|ReportField=ProjectName~Bluetooth_Sentinel.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~21|ReportField=SubClass~|ReportField=Time~|ReportField=Title~3-Axis Accelerometer|ReportField=DataSourceFileName~Bluetooth_Sentinel.BomDoc|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\NEXUS\Examples\Bluetooth Sentinel\Bluetooth_Sentinel.BomDoc|ReportField=PCBConfigurationName~Documentation|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||4K7 5% 0402(1005)|4K7 0.063W 5% 0402 (1005 Metric)  SMD|R1, R2|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402JR-074K7L%26seller%3DMouser%26sku%3D603-RC0402JR-074K7L%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402JR-074K7L%26seller%3DMouser%26sku%3D603-RC0402JR-074K7L%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}RC0402JR-074K7L{URL.TIP}Manufacturer|Volume Production|Mouser|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402JR-074K7L%26seller%3DMouser%26sku%3D603-RC0402JR-074K7L%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}603-RC0402JR-074K7L{URL.TIP}Supplier|0.008|0.08
2||10K 5% 0402(1005)|10K 0.063W 5% 0402 (1005 Metric)  SMD|R9, R10, R12, R13, R14, R15, R16|7|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW040210K0JNED%26seller%3DAllied%2520Electronics%26sku%3D70202521%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Dale{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW040210K0JNED%26seller%3DAllied%2520Electronics%26sku%3D70202521%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW040210K0JNED{URL.TIP}Manufacturer|Volume Production|Allied Electronics|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW040210K0JNED%26seller%3DAllied%2520Electronics%26sku%3D70202521%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}70202521{URL.TIP}Supplier|0.011|0.077
3||200R 5% 0402(1005)|200R 0.063W 5% 0402 (1005 Metric)  SMD|R3, R4, R5, R6, R7, R8|6|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402JR-07200RL%26seller%3DMouser%26sku%3D603-RC0402JR-07200RL%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402JR-07200RL%26seller%3DMouser%26sku%3D603-RC0402JR-07200RL%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}RC0402JR-07200RL{URL.TIP}Manufacturer|Volume Production|Mouser|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402JR-07200RL%26seller%3DMouser%26sku%3D603-RC0402JR-07200RL%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}603-RC0402JR-07200RL{URL.TIP}Supplier|0.008|0.08
4||24AA512-I/SN|512K bits I2C™ Serial EEPROM, 1.7 to 5.5 V, 400 kHz, -40 to 85 degC, 8-pin SOIC (SN8), Tube|U2|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3D24AA512-I%252FSN%26seller%3DDigi-Key%26sku%3D24AA512-I%252FSN-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Microchip{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3D24AA512-I%252FSN%26seller%3DDigi-Key%26sku%3D24AA512-I%252FSN-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}24AA512-I%2FSN{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3D24AA512-I%252FSN%26seller%3DDigi-Key%26sku%3D24AA512-I%252FSN-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}24AA512-I%2FSN-ND{URL.TIP}Supplier|1.32|1.32
5||CSR1010A05-IQQM-R|Bluetooth Low Energy Single-mode IC, 64 KB RAM and 64 KB ROM, -30 to 85 degC, 32-pin QFN|U1|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCSR%26mpn%3DCSR1010A05-IQQM-R%26seller%3DFuture%2520Electronics%26sku%3D9050236%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}CSR{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCSR%26mpn%3DCSR1010A05-IQQM-R%26seller%3DFuture%2520Electronics%26sku%3D9050236%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CSR1010A05-IQQM-R{URL.TIP}Manufacturer|Volume Production|Future Electronics|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCSR%26mpn%3DCSR1010A05-IQQM-R%26seller%3DFuture%2520Electronics%26sku%3D9050236%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}9050236{URL.TIP}Supplier|1.3|1.3
6||CAP 1uF 6.3V 0402(1005)|CAP 1uF 6.3V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD|C15, C24|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%26mpn%3D04026D105KAT2A%26seller%3DRSComponents%26sku%3D6983166%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Kyocera%20AVX{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%26mpn%3D04026D105KAT2A%26seller%3DRSComponents%26sku%3D6983166%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}04026D105KAT2A{URL.TIP}Manufacturer|Volume Production|RSComponents|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%26mpn%3D04026D105KAT2A%26seller%3DRSComponents%26sku%3D6983166%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}6983166{URL.TIP}Supplier|0.03106|3.11
7||CAP 1uF 16V 0402(1005)|CAP 1uF 16V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD|C18|1|{URL}{URL.TEXT}TDK{URL.TIP}Component|{URL}{URL.TEXT}C1005X5R1C105K{URL.TIP}Manufacturer|Not Recommended for New Design||{URL}{URL.TEXT}{URL.TIP}Supplier||
8||CAP 1.5pF 10V 0402(1005)|CAP 1.5pF 10V ±0.1pF 0402 (1005 Metric) Thickness 0.6mm SMD|C26|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Vitramon%26mpn%3DVJ0402A1R5BXQPW1BC%26seller%3DMouser%26sku%3D77-VJ0402A1R5BXQPBC%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Vitramon{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Vitramon%26mpn%3DVJ0402A1R5BXQPW1BC%26seller%3DMouser%26sku%3D77-VJ0402A1R5BXQPBC%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}VJ0402A1R5BXQPW1BC{URL.TIP}Manufacturer|Volume Production|Mouser|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Vitramon%26mpn%3DVJ0402A1R5BXQPW1BC%26seller%3DMouser%26sku%3D77-VJ0402A1R5BXQPBC%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}77-VJ0402A1R5BXQPBC{URL.TIP}Supplier|0.1|0.1
9||CAP 2.2uF 6.3V 0402(1005)|CAP 2.2uF 6.3V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD|C6, C11|2|{URL}{URL.TEXT}TDK{URL.TIP}Component|{URL}{URL.TEXT}C1005X5R0J225K{URL.TIP}Manufacturer|Volume Production||{URL}{URL.TEXT}{URL.TIP}Supplier||
10||CAP 10uF 10V 0603(1608)|CAP 10uF 10V ±20% 0603 (1608 Metric) Thickness 1mm SMD|C20|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC1608X5R1A106M%26seller%3DAvnet%26sku%3DC1608X5R1A106M080AC%252FBKN%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC1608X5R1A106M%26seller%3DAvnet%26sku%3DC1608X5R1A106M080AC%252FBKN%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C1608X5R1A106M{URL.TIP}Manufacturer|Volume Production|Avnet|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC1608X5R1A106M%26seller%3DAvnet%26sku%3DC1608X5R1A106M080AC%252FBKN%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}C1608X5R1A106M080AC%2FBKN{URL.TIP}Supplier|0.2449|0.2449
